"kinase","cond_1_1","cond_2_1","cond_3_1","cond_4_1","cond_5_1","cond_6_1","cond_7_1","cond_8_1","cond_32_12","cond_33_12","cond_37_15","cond_38_16","cond_39_16","cond_40_16","cond_41_17","cond_42_17","cond_43_17","cond_62_19","cond_63_19","cond_64_19","cond_62_20","cond_63_20","cond_64_20","cond_80_21","cond_81_21","cond_82_21","cond_80_22","cond_84_22","cond_85_22","cond_24_24","cond_89_24","cond_90_25","cond_91_25","cond_92_25","cond_93_25","cond_94_25","cond_95_25","cond_96_25","cond_238_26","cond_100_27","cond_101_27","cond_98_27","cond_99_27","cond_106_29","cond_107_29","cond_108_29","cond_109_29","cond_121_35","cond_122_36","cond_123_37","cond_124_37","cond_125_37","cond_129_39","cond_34_39","cond_35_39","cond_130_40","cond_133_43","cond_134_44","cond_135_44","cond_136_44","cond_44_45","cond_45_45","cond_46_45","cond_47_45","cond_48_45","cond_49_45","cond_50_45","cond_51_45","cond_52_45","cond_53_45","cond_54_45","cond_55_45","cond_56_45","cond_57_45","cond_58_45","cond_59_45","cond_60_45","cond_61_45","cond_22_46","cond_23_46","cond_24_46","cond_26_46","cond_27_46","cond_28_46","cond_29_46","cond_137_47","cond_138_47","cond_139_47","cond_140_47","cond_141_47","cond_142_48","cond_143_48","cond_142_51","cond_143_51","cond_144_52","cond_144_53","cond_144_54","cond_149_56","cond_151_56","cond_155_58","cond_156_58","cond_157_58","cond_158_59","cond_159_59","cond_160_59","cond_161_60","cond_161_61","cond_183_62","cond_184_62","cond_191_64","cond_192_64","cond_193_64","cond_191_65","cond_192_65","cond_193_65","cond_191_66","cond_192_66","cond_193_66","cond_194_67","cond_195_67","cond_196_67","cond_197_67","cond_198_67","cond_199_67","cond_194_68","cond_195_68","cond_196_68","cond_197_68","cond_198_68","cond_199_68","cond_216_72","cond_217_72","cond_218_72","cond_219_72","cond_220_72","cond_221_72","cond_222_72","cond_223_72","cond_224_72","cond_225_72","cond_226_72","cond_227_72","cond_228_73","cond_229_73","cond_230_73","cond_231_73","cond_232_74","cond_233_75","cond_234_75","cond_235_75"
"AAK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332547047110046,0.723538195826756,0.431798275933005,0.698970004336019,0.522878745280338,0.450996737974212,-1.61978875828839,-1.07572071393812,-1.95860731484178,0.636388020107856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593459819566045,NA,-0.534617148551582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04575749056068,NA,0.742321425130815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63827216398241,-0.338187314462739,NA,NA,NA,NA,NA,NA,0.425968732272281,-1.05060999335509,0.638272163982407,0.392544976785331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.30102999566398,0.42021640338319,1.16749108729376,0.910094888560602,0.497572880015567,0.435333935747911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43297363384094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABL1",0.346787486224656,0.350665141287858,0.595166283380062,0.3585258894959,0.397940008672038,-0.24184537803261,-0.428291168191312,0.653647025549361,-2.15490195998574,-1.49485002168009,NA,NA,NA,NA,NA,NA,NA,-1.35654732351381,-0.438898616350944,1.48148606012211,0.688246138944246,-0.342944147142896,-0.593459819566045,NA,NA,NA,NA,NA,NA,NA,NA,0.539102157243452,NA,0.51427857351842,0.876148359032914,NA,-0.580044251510242,1.07058107428571,3,0.853871964321762,0.7594507517174,0.567030709125594,0.85078088734462,NA,NA,0.364516253185088,0.642065152999546,NA,0.801342913045577,NA,NA,NA,NA,NA,1.49485002168009,-1.88605664769316,0.43297363384094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.260427655549908,-1.11918640771921,0.158640529545145,-0.346787486224656,0.0899094544059319,0.182434630440219,0.0942041196321315,-0.22548303427145,-0.453457336521869,0.171984935776023,1.31875876262441,0.139661993429006,0.806875401645538,-0.581698708680255,0.98296666070122,-1.35654732351381,-0.943095148663527,0.218244625347531,NA,NA,NA,-0.246416941107093,0.649751981665837,-0.621602099051862,1.55284196865778,-0.178486471595227,-0.471083299722345,-0.326979092871104,NA,NA,NA,1.35654732351381,0.465973893943865,0.826813731587726,0.220403508742175,0.337242168318426,0.712198270069774,2.09691001300806,-1.07058107428571,-0.643974142806877,0.39040559077478,0.33161408331,0.537602002101044,0.853871964321762,NA,-0.600326278518962,1.0268721464003,-1.63827216398241,-1.02227639471115,0.421360790031928,0.452225294612177,-0.424812155072339,-0.343901797987168,NA,-0.7594507517174,NA,-0.343901797987168,NA,1.65757731917779,-0.844663962534938,-0.958607314841775,0.180456064458131,1.10790539730952,-1.79588001734408,1.18708664335714,0.460923901207223,-0.703334809738469,-0.669586226650809,0.659555885159882,NA,NA,NA
"ADRBK1",-1.10237290870956,-1.01772876696043,-0.610833915635468,-0.539102157243452,-1.21467016498923,1.61978875828839,-0.319664486585437,0.528708288941061,-0.610833915635468,-0.416801226031377,NA,NA,NA,NA,-0.669586226650809,0.640164517660112,-0.66354026615147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603800652904264,NA,-0.79317412396815,0.546681659952962,1.43179827593301,0.804100347590766,0.838631997765025,NA,NA,1.00436480540245,-0.410050398674292,1.22184874961636,-0.744727494896694,0.602059991327962,-0.338187314462739,-0.519993057042849,-0.653647025549361,-0.437707135543525,NA,NA,0.829738284605043,0.749579997691106,-2.15490195998574,1.16749108729376,-1.09691001300806,-0.690369832574101,1.29242982390206,1.61978875828839,NA,NA,NA,0.257274868695302,0.295849483160201,0.815308569182401,-0.204119982655925,-0.718966632752272,-1.49485002168009,0.838631997765025,1.52287874528034,1.60205999132796,-2.22184874961636,0.667561540084395,2.04575749056068,-0.54821356447571,2.09691001300806,0.97061622231479,0.869666231504994,-0.657577319177794,-0.978810700930062,-0.673664139071249,-0.73754891026957,-2.69897000433602,2.69897000433602,NA,0.638272163982407,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202732459169284,0.216096420727265,0.326979092871104,NA,NA,NA,NA,NA,NA,NA,NA,1.20760831050175,NA,NA,NA,0.46344155742847,-0.347753658996677,0.777283528852417,0.202040356262804,0.217527375833714,0.127843727251707,0.924453038607469,0.821023052706831,1.18045606445813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96657624451305,0.701146923590293,0.442492798094342,1.82390874094432,0.45717457304082,0.450996737974212,1.27572413039921,1.27572413039921,-1.35654732351381,-0.458420756053419,1.01772876696043,0.790484985457369,NA,NA,NA,NA,NA,0.508638306165727,0.365522729839268,1.32790214206428
"AKT1",0.214670164989233,0.739928612014925,0.253365801062421,0.381951903287907,0.330683119433888,0.568636235841013,1.21467016498923,0.642065152999546,-2.69897000433602,-1.85387196432176,-0.170696227168975,-2.39794000867204,-0.899629454882437,-1.50863830616573,-1.48148606012211,-1.30980391997149,-0.847711655616944,-3,0.0227337875727074,3,-3,0.0366844886138887,3,2.69897000433602,1.25963731050576,-1.95860731484178,2.22184874961636,2.69897000433602,-2.52287874528034,-0.118045028660399,0.186419011431808,0.375717904164332,-0.876148359032914,-0.542118103266008,-1.52287874528034,0.0963674839157623,1.60205999132796,0.671620396561262,3,0.991399828238082,1.92081875395238,1.43179827593301,1.13076828026902,-0.375717904164332,1.30102999566398,1.34678748622466,1.10790539730952,1.32790214206428,0.647817481888638,1.20760831050175,0.197910742118267,0.164309428507574,-0.75448733218585,-0.954677021213343,-0.47755576649368,1.4089353929735,0.173925197299174,0.39577394691553,1.13667713987954,0.0414361167780325,-1.42021640338319,1.20065945054642,1.50863830616573,3,-0.630784142589857,0.987162775294828,-0.555955204081924,0.58838029403677,3,0.97061622231479,-0.142667503568732,0.688246138944246,0.518557371497695,2.15490195998574,3,2.69897000433602,-1.11350927482752,1.31875876262441,-0.612610173661271,1.85387196432176,0.0400051616715838,-0.0145735259169983,0.326979092871104,0.374687549038326,1.53760200210104,0.431798275933005,0.446116973356126,0.38933983691012,0.10790539730952,-0.382999658879101,3,0.421360790031928,2.15490195998574,1.30102999566398,0.127261172527331,0.0414361167780325,0.0159229660971692,0.0154726866562074,0.434152181326482,0.162411561764489,0.230622673923862,0.481486060122112,0.732828271596986,0.576754126063192,1.56863623584101,-0.486782399932061,-0.396855627379818,-0.38933983691012,0.0319842860063582,0.0716041477432862,0.104577453960592,0.366531544420413,0.07727454200674,0.274905478918531,1.0268721464003,0.0639892042847904,0.126679398184601,0.226945306635737,0.348721986001856,0.212539525481585,0.271646217978772,0.277366077466188,0.471083299722345,0.472370099128661,0.069050968832477,0.166215625343521,0.209714835966758,0.336299074610352,0.262807357295263,0.243363891754152,0.847711655616944,0.876148359032914,1.30102999566398,0.882728704344236,1.55284196865778,0.605548319173784,-0.354577730650908,0.321481620959886,0.436518914605589,0.271646217978772,0.782516055786094,0.809668301829709,-0.127843727251707,0.537602002101044,-0.19586056766465,0.163675884293248,0.0462403082667712,1.36653154442041,3,1.53760200210104
"AKT2",0.197226274708024,0.238824186844269,0.349692476868063,0.667561540084395,0.257274868695302,0.317854923626168,0.85078088734462,0.779891911959945,-0.429457060118102,-0.22548303427145,-1.18045606445813,-1.79588001734408,-0.779891911959945,0.84163750790475,-1.15490195998574,-0.767003889607846,-1.56863623584101,-0.361510743045363,-1.06048074738138,0.801342913045577,-0.667561540084395,0.809668301829709,0.602059991327962,-0.552841968657781,0.447331783887807,0.326058001365912,0.809668301829709,1.31875876262441,-0.58838029403677,NA,0.625251653989896,-0.642065152999546,-1.35654732351381,-0.296708621881339,-1.31875876262441,-0.767003889607846,NA,0.669586226650809,0.619788758288394,1.67778070526608,1.69897000433602,1.63827216398241,1.42021640338319,-0.705533773838407,0.366531544420413,NA,NA,1.17392519729917,1.02227639471115,1.27572413039921,-0.266802734893431,-0.66354026615147,0.0996328713435297,0.326058001365912,0.235823867609669,1.08618614761628,-0.832682665251824,-0.686132779630847,-0.546681659952962,0.598599459218456,NA,NA,NA,NA,NA,NA,-0.396855627379818,NA,NA,0.701146923590293,0.882728704344236,-0.30803489723264,NA,NA,NA,NA,NA,NA,-0.581698708680255,-0.277366077466188,-1.50863830616573,NA,0.180456064458131,0.628932137728264,-0.958607314841775,0.347753658996677,0.578396073130169,-0.521433504406157,0.920818753952375,-0.496209316942819,NA,NA,NA,NA,0.735182176990464,0.522878745280338,NA,0.576754126063192,NA,NA,NA,NA,NA,NA,NA,-0.27083521030723,-0.571865205971211,-0.146910470148134,-0.97469413473523,0.283996656365201,-0.278189384787453,0.0705810742857073,0.1073489661227,0.0530567293021746,-1.11918640771921,1.55284196865778,-0.142667503568732,-0.126679398184601,-0.500312917381596,-1.02227639471115,-1.15490195998574,-0.212539525481585,-0.540607512240769,1.13667713987954,-0.370590400897281,-0.455931955649724,-0.528708288941061,-1.18708664335714,-0.681936665037238,-0.52432881167557,0.55129368009492,-0.616184634019569,-0.694648630553376,-0.533132379645891,-0.375717904164332,-1.07572071393812,-0.200659450546418,-1.2839966563652,-0.424812155072339,-0.600326278518962,-0.522878745280338,-0.508638306165727,-0.189767482004916,0.519993057042849,1.20065945054642,-1.53760200210104,0.498940737782248,0.698970004336019,0.405607449624573,0.73754891026957
"AKT3",-0.598599459218456,NA,1.44369749923271,NA,NA,NA,NA,NA,NA,NA,-0.373659632624958,-0.640164517660112,-0.568636235841013,-0.402304814074488,NA,NA,NA,0.494850021680094,-0.71669877129645,-0.435333935747911,1.01772876696043,-0.209011524911184,-0.995678626217357,-1.21467016498923,-0.696803942579511,0.747146969020107,-1.52287874528034,-1.29242982390206,-0.555955204081924,-0.835647144215563,-0.322393047279507,-0.621602099051862,-0.772113295386326,-0.7594507517174,2.15490195998574,1.01322826573376,0.790484985457369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497572880015567,NA,NA,NA,NA,0.886056647693163,-0.419075024324381,NA,NA,1.58502665202918,NA,NA,NA,NA,0.396855627379818,-0.478861916295964,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555955204081924,NA,NA,-0.366531544420413,-0.779891911959945,-0.795880017344075,-0.323306390375133,1.92081875395238,0.612610173661271,-0.600326278518962,-0.889410289700751,-0.460923901207223,-0.801342913045577,NA,NA,NA,NA,NA,NA,NA,0.94692155651658,0.665546248849069,-0.415668775632469,-0.958607314841775,-0.354577730650908,0.772113295386326,NA,-0.30189945437661,0.402304814074488,0.401209493236885,-0.449771646944906,-0.557520230935551,-0.675717544702307,NA,NA,1.10237290870956,1.63827216398241,NA,NA,NA,-0.314258261397736,0.97061622231479,-0.950781977329818,0.464705879957229,0.369572124974976,0.508638306165727,-0.530177984021837,-0.519993057042849,-0.42021640338319,-0.627087997029893,-0.744727494896694,-1.19382002601611,-0.476253533188435,-0.342944147142896,-0.657577319177794,-0.559090917934782,-0.645891560852599,-0.98296666070122,-0.428291168191312,NA,3,NA,2.39794000867204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45717457304082,-1.34678748622466,-0.408935392973501,-0.87942606879415
"ALK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.555955204081924,-0.255707016877324,0.484126156288321,-1.01322826573376,-1.45593195564972,0.686132779630847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63827216398241,-0.790484985457369,NA,NA,-0.317854923626168,-0.30715308072277,-0.428291168191312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.505845405981557,-0.681936665037238,NA,NA,0.73754891026957,0.844663962534938,NA,-0.73754891026957,-0.341035157335565,-0.546681659952962,1.30102999566398,-0.642065152999546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55284196865778,-0.96657624451305,NA,NA,0.97469413473523,0.623423042943488,0.586700235918748,-0.826813731587726,-1.36653154442041,0.501689446210399,-0.325138859262188,-0.568636235841013,-0.407823242604133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777283528852417,NA,NA,NA,-0.987162775294828,NA,0.282329496997738,NA,-0.552841968657781,NA,NA,NA,NA,NA,NA,NA,NA
"ARAF",-0.769551078621726,-0.46344155742847,-0.336299074610352,-0.619788758288394,NA,NA,NA,NA,NA,NA,NA,-1.60205999132796,-0.384049948343599,-0.478861916295964,-0.958607314841775,-0.555955204081924,-0.573488738635425,-1.39794000867204,0.906578314837765,1.01772876696043,-1.09691001300806,-0.655607726314889,0.943095148663527,NA,NA,NA,NA,NA,NA,1.10790539730952,-0.455931955649724,1.07572071393812,-0.632644078973981,0.30715308072277,-0.573488738635425,0.150580586203101,0.298432014944073,0.368556230986828,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469800301796918,NA,NA,0.428291168191312,NA,-1.32790214206428,-0.30189945437661,-0.415668775632469,0.882728704344236,0.714442690992226,NA,NA,NA,-0.886056647693163,-0.59176003468815,1.03621217265444,0.860120913598763,-0.795880017344075,-0.505845405981557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34678748622466,-0.45717457304082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.939302159646388,0.434152181326482,NA,NA,-0.175874166083451,1.4089353929735,0.471083299722345,-1.06048074738138,0.571865205971211,NA,NA,NA,NA,NA,NA,-0.412289034981089,-1.53760200210104,NA,NA,0.818156412055227,0.540607512240769,0.661543506395395,0.159893905543242,0.540607512240769,0.424812155072339,0.187086643357144,0.690369832574101,0.723538195826756,-0.896196279044043,1.11350927482752,1.08618614761628,0.882728704344236,0.739928612014925,0.299296282854981,0.187755303199631,0.229147988357856,0.183758700008217,0.570247719997592,0.141462802430361,0.218963061378868,NA,NA,NA,-0.645891560852599,NA,NA,-0.458420756053419,0.52432881167557,0.356547323513813,-0.336299074610352,0.705533773838407,-1.04575749056068,NA,NA,NA,NA,0.430626090384954,0.380906669373257,0.600326278518962,0.586700235918748
"ATM",0.0525662781129492,-0.39577394691553,0.22767829327708,-0.71669877129645,-0.404503778174426,0.449771646944906,-0.373659632624958,-0.0545314148681803,1.82390874094432,0.31695296176115,NA,0.595166283380062,0.638272163982407,0.38933983691012,-0.521433504406157,-0.555955204081924,-0.507239610973163,0.216811308924742,-0.939302159646388,-0.612610173661271,-0.134303940083929,-0.939302159646388,-0.114638779968488,NA,NA,NA,NA,NA,NA,3,0.698970004336019,-0.344861565188618,1.74472749489669,1.4089353929735,0.714442690992226,1.11918640771921,0.709965388637482,-0.590066876668705,-0.430626090384954,-0.309803919971486,-3,-0.288192770958809,-0.288192770958809,NA,NA,-0.42712839779952,-1.2518119729938,NA,NA,-0.187755303199631,0.484126156288321,1.53760200210104,1.32790214206428,-0.211124884224583,1.43179827593301,3,3,NA,NA,NA,0.882728704344236,NA,NA,-0.518557371497695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.962573502059376,-1.18708664335714,1.14874165128092,-0.0762380391712997,1.63827216398241,1.09151498112135,-0.408935392973501,NA,NA,NA,NA,NA,1.44369749923271,0.213958789757446,0.200659450546418,0.197910742118267,0.899629454882437,0.987162775294828,0.402304814074488,0.665546248849069,-0.244887733604929,NA,NA,NA,NA,NA,NA,0.327902142064283,0.113509274827518,0.899629454882437,1.06048074738138,0.267606240177031,-1.65757731917779,-0.501689446210399,0.453457336521869,0.458420756053419,0.913640169325252,0.279014255846261,0.586700235918748,1.14874165128092,-1.21467016498923,1.67778070526608,-1.49485002168009,1.43179827593301,1.33724216831843,1.20760831050175,-1.74472749489669,-1.30980391997149,-1.26760624017703,-2.69897000433602,-1.74472749489669,-0.920818753952375,0.405607449624573,1,-0.34008379993015,-0.494850021680094,-0.616184634019569,0.617982957425132,NA,NA,NA,NA,-0.52432881167557,NA,0.369572124974976,-0.838631997765025,0.453457336521869,-0.476253533188435,-1.08618614761628,NA,NA,0.995678626217357
"ATR",0.111820506081675,-0.0969100130080564,2.22184874961636,-0.94692155651658,0.178486471595227,0.109578981199086,-0.280668713016273,0.0904439707588247,0.237321436272564,0.114638779968488,0.534617148551582,-0.337242168318426,-0.494850021680094,-0.602059991327962,NA,NA,NA,-0.742321425130815,-0.128427064454121,0.638272163982407,-0.557520230935551,-0.164943898279884,0.87942606879415,-0.372634143407267,-0.721246399047171,0.782516055786094,0.617982957425132,0.54821356447571,-0.96657624451305,2.39794000867204,0.396855627379818,-0.269217724333611,0.443697499232713,0.087246696328677,-0.667561540084395,0.24184537803261,1.56863623584101,-0.812479279163537,0.528708288941061,0.525783735923745,0.703334809738469,0.361510743045363,0.394694953858891,-0.630784142589857,-0.23284413391782,-0.204119982655925,-0.202040356262804,-0.328827157284917,NA,2.09691001300806,0.665546248849069,1.92081875395238,-0.71669877129645,-0.632644078973981,0.441291429466834,1.92081875395238,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.585026652029182,-0.675717544702307,1.22914798835786,-0.0362121726544447,1.88605664769316,0.98296666070122,-1.11350927482752,-0.428291168191312,0.782516055786094,-0.515700160653214,-2.22184874961636,NA,1.05060999335509,0.142064735280571,1.38721614328026,0.0491485411114536,-0.0530567293021746,-0.34008379993015,-1.49485002168009,0.34008379993015,-0.866461091629782,NA,NA,NA,NA,NA,NA,-0.282329496997738,0.330683119433888,NA,NA,0.540607512240769,-0.105130343254747,-0.605548319173784,0.177831920631982,1.14874165128092,0.125518182300534,0.266000713461613,-0.0660068361687577,-0.296708621881339,0.586700235918748,0.703334809738469,0.454692883534176,0.380906669373257,0.087246696328677,0.0634862575211067,0.838631997765025,0.735182176990464,0.171984935776023,0.209011524911184,0.329754146925876,0.645891560852599,1.43179827593301,-0.619788758288394,-0.164943898279884,-1.01322826573376,0.542118103266008,-0.605548319173784,0.546681659952962,0.42712839779952,0.94692155651658,0.187755303199631,0.139063379299906,0.249491605148654,1.46852108295774,0.446116973356126,-0.903089986991944,-0.684029654543082,-0.79317412396815,-0.338187314462739,1.76955107862173,-0.688246138944246
